n_cal,x_test,p_true,ambiguity,mean_mid,sd_mid_across_resamples,mean_width,abs_error
50,-1.6327212020033388,0.10004452203078763,0.18007123128483776,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3916221446358789
50,-1.6260434056761268,0.1000463419984284,0.18007414290232382,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.39162032466823815
50,-1.6193656093489148,0.10004823635805957,0.18007717351940283,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.391618430308607
50,-1.6126878130217028,0.10005020815011272,0.18008032799846369,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3916164585165538
50,-1.6060100166944908,0.10005226053925192,0.18008361140047513,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3916144061274146
50,-1.5993322203672788,0.10005439681944729,0.18008702899308773,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.39161226984721925
50,-1.5926544240400666,0.1000566204192555,0.18009058625906507,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.391610046247411
50,-1.5859766277128546,0.10005893490731575,0.1800942889050586,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.39160773175935076
50,-1.5792988313856426,0.10006134399806983,0.18009814287073952,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3916053226685967
50,-1.5726210350584306,0.10006385155771563,0.18010215433830215,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3916028151089509
50,-1.5659432387312187,0.10006646161040328,0.18010632974235394,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.39160020505626325
50,-1.5592654424040067,0.10006917834468403,0.1801106757802077,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3915974883219825
50,-1.5525876460767947,0.1000720061202221,0.1801151994225927,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.39159466054644443
50,-1.5459098497495827,0.1000749494747801,0.18011990792480062,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.39159171719188646
50,-1.5392320534223707,0.10007801313148927,0.18012480883828547,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.39158865353517724
50,-1.5325542570951587,0.10008120200641603,0.18012991002273396,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3915854646602505
50,-1.5258764607679467,0.10008452121643686,0.18013521965862692,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3915821454502297
50,-1.5191986644407345,0.10008797608743417,0.18014074626031076,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.39157869057923234
50,-1.5125208681135225,0.10009157216282599,0.1801464986895996,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.39157509450384054
50,-1.5058430717863105,0.10009531521244332,0.18015248616992988,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3915713514542232
50,-1.4991652754590985,0.10009921124176886,0.18015871830108918,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3915674554248977
50,-1.4924874791318865,0.1001032665015522,0.18016520507454284,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3915634001651143
50,-1.4858096828046743,0.10010748749781648,0.18017195688938198,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3915591791688501
50,-1.4791318864774623,0.10011188100227236,0.18017898456891845,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.39155478566439417
50,-1.4724540901502503,0.10011645406315617,0.18018629937795222,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.39155021260351036
50,-1.4657762938230383,0.10012121401650885,0.18019391304073856,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.39154545265015767
50,-1.4590984974958263,0.10012616849791414,0.1802018377596829,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.39154049816875236
50,-1.4524207011686143,0.10013132545471423,0.18021008623479265,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3915353412119523
50,-1.4457429048414023,0.10013669315872224,0.1802186716839163,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3915299735079443
50,-1.4390651085141903,0.10014228021945187,0.18022760786380132,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.39152438644721466
50,-1.4323873121869783,0.1001480955978848,0.18023690909200346,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.39151857106878174
50,-1.4257095158597664,0.10015414862079793,0.1802465902696821,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3915125180458686
50,-1.4190317195325544,0.10016044899567265,0.18025666690531583,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.39150621767099386
50,-1.4123539232053424,0.10016700682621031,0.1802671551393765,0.49166666666666653,0.12173514054883432,0.07142857142857144,0.3914996598404562
